================ Training Loss (Thu Mar 31 12:29:10 2022) ================
================ Training Loss (Thu Mar 31 12:30:32 2022) ================
================ Training Loss (Thu Mar 31 12:33:54 2022) ================
================ Training Loss (Thu Mar 31 12:34:58 2022) ================
================ Training Loss (Thu Mar 31 12:37:29 2022) ================
================ Training Loss (Thu Mar 31 12:41:37 2022) ================
================ Training Loss (Thu Mar 31 12:46:38 2022) ================
================ Training Loss (Thu Mar 31 12:51:03 2022) ================
================ Training Loss (Thu Mar 31 12:54:19 2022) ================
================ Training Loss (Thu Mar 31 13:00:17 2022) ================
================ Training Loss (Thu Mar 31 13:01:45 2022) ================
================ Training Loss (Thu Mar 31 13:08:42 2022) ================
(epoch: 1, iters: 3200, time: 0.008, dataset: 3297449849.897) GAN: 1.331 
(epoch: 1, iters: 6400, time: 0.008, dataset: 3297449912.701) GAN: 1.447 
================ Training Loss (Thu Mar 31 15:04:27 2022) ================
(epoch: 1, iters: 3200, time: 0.008, dataset: 3297463741.696) GAN: 1.333 
(epoch: 1, iters: 6400, time: 0.007, dataset: 3297463801.416) GAN: 1.485 
================ Training Loss (Thu Mar 31 15:14:20 2022) ================
(epoch: 1, iters: 3200, time: 0.007, dataset: 3297464926.684) GAN: 1.385 
(epoch: 1, iters: 6400, time: 0.008, dataset: 3297464980.576) GAN: 1.384 
================ Training Loss (Thu Mar 31 15:23:13 2022) ================
(epoch: 1, iters: 3200, time: 0.007, dataset: 3297465992.119) GAN: 1.413 
(epoch: 1, iters: 6400, time: 0.007, dataset: 3297466042.894) GAN: 1.366 
(epoch: 1, iters: 9600, time: 0.007, dataset: 3297466087.058) GAN: 1.349 
(epoch: 1, iters: 12800, time: 0.007, dataset: 3297466130.074) GAN: 1.480 
(epoch: 1, iters: 16000, time: 0.007, dataset: 3297466173.708) GAN: 1.486 
(epoch: 1, iters: 19200, time: 0.007, dataset: 3297466218.637) GAN: 1.626 
(epoch: 1, iters: 22400, time: 0.007, dataset: 3297466263.615) GAN: 1.546 
